 TIME                                    TempTop                                  TempBottom                               Node1                                    Node2                                    Node3                                    Node4                                    Node5                                    Node6                                    Node7                                    Node8                                    Node9                                    Node10                                  
  +1.9600000000000001E+01   +6.2908273989092073E+01   +6.0367169510231598E+01   +6.2908273989092073E+01   +6.2719576045044775E+01   +6.2370089783012894E+01   +6.1898140741940885E+01   +6.1391996640732131E+01   +6.0903323000264905E+01   +6.0367169510231598E+01   +5.9545546955892839E+01   +5.8002692620156139E+01   +5.5122428024792370E+01
  +1.9649999999999999E+01   +6.2932821947128822E+01   +6.0665185097494117E+01   +6.2932821947128822E+01   +6.2800368548427485E+01   +6.2535553889180861E+01   +6.2139074217561372E+01   +6.1667593243339340E+01   +6.1180392595499583E+01   +6.0665185097494117E+01   +5.9972969098678348E+01   +5.8777258079567773E+01   +5.6567861040106649E+01
  +1.9699999999999999E+01   +6.2952636898977872E+01   +6.1025252518708726E+01   +6.2952636898977872E+01   +6.2866648575688892E+01   +6.2683594103123220E+01   +6.2379630298473579E+01   +6.1975290835477921E+01   +6.1517159931183549E+01   +6.1025252518708726E+01   +6.0430050349641036E+01   +5.9520059152214607E+01   +5.7911977459162749E+01
  +1.9750000000000000E+01   +6.2968066552654271E+01   +6.1462862057225948E+01   +6.2968066552654271E+01   +6.2917517523377334E+01   +6.2806075572813270E+01   +6.2601892218006704E+01   +6.2295897598320373E+01   +6.1907716632785714E+01   +6.1462862057225948E+01   +6.0947407459950639E+01   +6.0256030640470811E+01   +5.9145495675811041E+01
  +1.9800000000000001E+01   +6.2979842807928542E+01   +6.1975366236554720E+01   +6.2979842807928542E+01   +6.2953678511908464E+01   +6.2897296075682689E+01   +6.2785684474165400E+01   +6.2596922346250388E+01   +6.2324016643952092E+01   +6.1975366236554720E+01   +6.1556722890019252E+01   +6.1037185084276857E+01   +6.0303789053303795E+01
  +1.9850000000000001E+01   +6.2989635496202247E+01   +6.2530940208028149E+01   +6.2989635496202247E+01   +6.2978852438913016E+01   +6.2958541479819054E+01   +6.2918144940523881E+01   +6.2842691881602917E+01   +6.2717023485162443E+01   +6.2530940208028149E+01   +6.2280110636873708E+01   +6.1958308515238684E+01   +6.1536101078899989E+01
  +1.9899999999999999E+01   +6.2982593421708394E+01   +6.2674846941940110E+01   +6.2982593421708394E+01   +6.2978873315344359E+01   +6.2967040745603327E+01   +6.2943039688095489E+01   +6.2896212299516975E+01   +6.2811562375555567E+01   +6.2674846941940110E+01   +6.2476939958794105E+01   +6.2213141326997032E+01   +6.1865834403921440E+01
  +1.9949999999999999E+01   +6.2965418140969447E+01   +6.2664661581960601E+01   +6.2965418140969447E+01   +6.2965416594092439E+01   +6.2956842106357882E+01   +6.2932832111092864E+01   +6.2885996054995765E+01   +6.2801349917777827E+01   +6.2664661581960601E+01   +6.2466806679567284E+01   +6.2203053363141187E+01   +6.1846606895379971E+01
  +2.0000000000000000E+01   +6.2950102963172860E+01   +6.2654473323383961E+01   +6.2950102963172860E+01   +6.2950101416473238E+01   +6.2946635599996604E+01   +6.2922621601082177E+01   +6.2875776902203292E+01   +6.2791134567008847E+01   +6.2654473323383961E+01   +6.2456670427737109E+01   +6.2192948572059024E+01   +6.1827392724849197E+01
  +2.0050000000000001E+01   +6.2935485963241661E+01   +6.2644282541141116E+01   +6.2935485963241661E+01   +6.2935484557342967E+01   +6.2935026812251202E+01   +6.2912408523602217E+01   +6.2865555216172524E+01   +6.2780916698265308E+01   +6.2644282541141116E+01   +6.2446531557612865E+01   +6.2182827399682481E+01   +6.1808192588932954E+01
  +2.0100000000000001E+01   +6.2921718933600140E+01   +6.2634089983788179E+01   +6.2921718933600140E+01   +6.2921717558628252E+01   +6.2921717558628259E+01   +6.2902191517416121E+01   +6.2855331743985978E+01   +6.2770697060219788E+01   +6.2634089983788179E+01   +6.2436390797335761E+01   +6.2172690666102461E+01   +6.1789007933051714E+01
  +2.0149999999999999E+01   +6.2908105535160196E+01   +6.2623896025444012E+01   +6.2908105535160196E+01   +6.2908104160304958E+01   +6.2908104160304966E+01   +6.2891968403250097E+01   +6.2845106854801671E+01   +6.2760476027133102E+01   +6.2623896025444012E+01   +6.2426248500816669E+01   +6.2162538817502067E+01   +6.1769839450672883E+01
  +2.0199999999999999E+01   +6.2894493289571670E+01   +6.2613700666317087E+01   +6.2894493289571670E+01   +6.2894491914832663E+01   +6.2894491914832663E+01   +6.2881738740745625E+01   +6.2834880541656972E+01   +6.2750253599374993E+01   +6.2613700666317087E+01   +6.2416104648262362E+01   +6.2152371926112231E+01   +6.1750687084861156E+01
  +2.0250000000000000E+01   +6.2880882192498909E+01   +6.2603503906585985E+01   +6.2880882192498909E+01   +6.2880880817875664E+01   +6.2880880817875664E+01   +6.2871502551217837E+01   +6.2824652797297333E+01   +6.2740029777303270E+01   +6.2603503906585985E+01   +6.2405959220054449E+01   +6.2142190063808499E+01   +6.1731550778910304E+01
  +2.0300000000000001E+01   +6.2867272239620839E+01   +6.2593305746399729E+01   +6.2867272239620839E+01   +6.2867270865112943E+01   +6.2867270865112943E+01   +6.2861259855893657E+01   +6.2814423614524948E+01   +6.2729804561263883E+01   +6.2593305746399729E+01   +6.2395812196748238E+01   +6.2131993302112825E+01   +6.1712430476342227E+01
  +2.0350000000000001E+01   +6.2853663426631023E+01   +6.2583106185878101E+01   +6.2853663426631023E+01   +6.2853662052238036E+01   +6.2853662052238036E+01   +6.2851010675912214E+01   +6.2804192986198430E+01   +6.2719577951591006E+01   +6.2583106185878101E+01   +6.2385663559071538E+01   +6.2121781712195322E+01   +6.1693326120905851E+01
  +2.0399999999999999E+01   +6.2840352585102949E+01   +6.2572905225112017E+01   +6.2840352585102949E+01   +6.2840351270762440E+01   +6.2840351270762447E+01   +6.2839864344914901E+01   +6.2793960905232439E+01   +6.2709349948607127E+01   +6.2572905225112017E+01   +6.2375513287923560E+01   +6.2111555364876068E+01   +6.1674237656576189E+01
  +2.0449999999999999E+01   +6.2827460711651732E+01   +6.2562702864163839E+01   +6.2827460711651732E+01   +6.2827459421900350E+01   +6.2827459421900350E+01   +6.2827459421900350E+01   +6.2783726021754767E+01   +6.2699120551606384E+01   +6.2562702864163839E+01   +6.2365361364373726E+01   +6.2101314330626856E+01   +6.1655165027553288E+01
  +2.0500000000000000E+01   +6.2814690587989787E+01   +6.2552499103064648E+01   +6.2814690587989787E+01   +6.2814689298250684E+01   +6.2814689298250684E+01   +6.2814689298250684E+01   +6.2773486445445187E+01   +6.2688889757437117E+01   +6.2552499103064648E+01   +6.2355207769660595E+01   +6.2091058679572932E+01   +6.1636108178261260E+01
  +2.0550000000000001E+01   +6.2801920584903897E+01   +6.2542293941810293E+01   +6.2801920584903897E+01   +6.2801919295176866E+01   +6.2801919295176859E+01   +6.2801919295176866E+01   +6.2763241639169884E+01   +6.2678657561127295E+01   +6.2542293941810293E+01   +6.2345052485190685E+01   +6.2080788481494736E+01   +6.1617067053347277E+01
  +2.0600000000000001E+01   +6.2789150700329756E+01   +6.2532087380360586E+01   +6.2789150700329756E+01   +6.2789149410614591E+01   +6.2789149410614591E+01   +6.2789149410614591E+01   +6.2752991618345270E+01   +6.2668423957328351E+01   +6.2532087380360586E+01   +6.2334895492537335E+01   +6.2070503805829674E+01   +6.1598041597680563E+01
  +2.0649999999999999E+01   +6.2776380932210444E+01   +6.2521879418639699E+01   +6.2776380932210444E+01   +6.2776379642506932E+01   +6.2776379642506932E+01   +6.2776379642506939E+01   +6.2742736398325427E+01   +6.2658188940732614E+01   +6.2521879418639699E+01   +6.2324736773439632E+01   +6.2060204721673792E+01   +6.1579031756351441E+01
  +2.0699999999999999E+01   +6.2763611278496356E+01   +6.2511670056536602E+01   +6.2763611278496356E+01   +6.2763609988804298E+01   +6.2763609988804305E+01   +6.2763609988804298E+01   +6.2732475994402400E+01   +6.2647952506073054E+01   +6.2511670056536602E+01   +6.2314576309801240E+01   +6.2049891297783518E+01   +6.1560037474670310E+01
  +2.0750000000000000E+01   +6.2750841737145223E+01   +6.2501459293905519E+01   +6.2750841737145223E+01   +6.2750840447464412E+01   +6.2750840447464412E+01   +6.2750840447464412E+01   +6.2722210421806480E+01   +6.2637714648122973E+01   +6.2501459293905519E+01   +6.2304414083689316E+01   +6.2039563602577374E+01   +6.1541058698166736E+01
  +2.0800000000000001E+01   +6.2738072306122042E+01   +6.2491247130566315E+01   +6.2738072306122042E+01   +6.2738071016452267E+01   +6.2738071016452267E+01   +6.2738071016452267E+01   +6.2711939695706441E+01   +6.2627475361695744E+01   +6.2491247130566315E+01   +6.2294250077333395E+01   +6.2029221704137669E+01   +6.1522095372588382E+01
  +2.0850000000000001E+01   +6.2725302983399054E+01   +6.2481033566304923E+01   +6.2725302983399054E+01   +6.2725301693740114E+01   +6.2725301693740121E+01   +6.2725301693740121E+01   +6.2701663831209856E+01   +6.2617234641644529E+01   +6.2481033566304923E+01   +6.2284084273124293E+01   +6.2018865670212179E+01   +6.1503147443900126E+01
  +2.0899999999999999E+01   +6.2712533766955723E+01   +6.2470818600873784E+01   +6.2712533766955723E+01   +6.2712532477307427E+01   +6.2712532477307427E+01   +6.2712532477307420E+01   +6.2691382843363357E+01   +6.2606992482861997E+01   +6.2470818600873784E+01   +6.2273916653613028E+01   +6.2008495568215821E+01   +6.1484214858283067E+01
  +2.0949999999999999E+01   +6.2699764654778718E+01   +6.2460602233992212E+01   +6.2699764654778718E+01   +6.2699763365140846E+01   +6.2699763365140839E+01   +6.2699763365140846E+01   +6.2681096747152907E+01   +6.2596748880280053E+01   +6.2460602233992212E+01   +6.2263747201509716E+01   +6.1998111465232363E+01   +6.1465297562133557E+01
  +2.1000000000000000E+01   +6.2686995644861867E+01   +6.2450384465346851E+01   +6.2686995644861867E+01   +6.2686994355234226E+01   +6.2686994355234219E+01   +6.2686994355234226E+01   +6.2670805557504060E+01   +6.2586503828869581E+01   +6.2450384465346851E+01   +6.2253575899682524E+01   +6.1987713428016050E+01   +6.1446395502062259E+01
  +2.1050000000000001E+01   +6.2674226267019279E+01   +6.2440164920409266E+01   +6.2674226267019279E+01   +6.2674224977307119E+01   +6.2674224977307119E+01   +6.2674224977307119E+01   +6.2660508915099477E+01   +6.2576256949457374E+01   +6.2440164920409266E+01   +6.2243402356973782E+01   +6.1977301148526166E+01   +6.1427507874751647E+01
  +2.1100000000000001E+01   +6.2661455583425777E+01   +6.2429942850962846E+01   +6.2661455583425777E+01   +6.2661454293534412E+01   +6.2661454293534412E+01   +6.2661454293534405E+01   +6.2650206086763632E+01   +6.2566007489252243E+01   +6.2429942850962846E+01   +6.2233225808724583E+01   +6.1966873943888992E+01   +6.1408633128500739E+01
  +2.1149999999999999E+01   +6.2648683124871482E+01   +6.2419717883165987E+01   +6.2648683124871482E+01   +6.2648681834800790E+01   +6.2648681834800790E+01   +6.2648681834800797E+01   +6.2639896713384694E+01   +6.2555755069907271E+01   +6.2419717883165987E+01   +6.2223045864834795E+01   +6.1956431504467943E+01   +6.1389770463992896E+01
  +2.1199999999999999E+01   +6.2635908890220918E+01   +6.2409490017025995E+01   +6.2635908890220918E+01   +6.2635907599970785E+01   +6.2635907599970793E+01   +6.2635907599970785E+01   +6.2629580809531483E+01   +6.2545499686992649E+01   +6.2409490017025995E+01   +6.2212862509234668E+01   +6.1945973893911308E+01   +6.1370919832743503E+01
  +2.1250000000000000E+01   +6.2623132878344961E+01   +6.2399259252519293E+01   +6.2623132878344961E+01   +6.2623131587915282E+01   +6.2623131587915282E+01   +6.2623131587915275E+01   +6.2619258389716080E+01   +6.2535241336115234E+01   +6.2399259252519293E+01   +6.2202675726003676E+01   +6.1935501175558827E+01   +6.1352081186466293E+01
  +2.1300000000000001E+01   +6.2610355088120812E+01   +6.2389025589591853E+01   +6.2610355088120812E+01   +6.2610353797511458E+01   +6.2610353797511458E+01   +6.2610353797511451E+01   +6.2608929468394109E+01   +6.2524980012918292E+01   +6.2389025589591853E+01   +6.2192485499369560E+01   +6.1925013412443249E+01   +6.1333254477072458E+01
  +2.1350000000000001E+01   +6.2597799603539414E+01   +6.2378789028159559E+01   +6.2597799603539414E+01   +6.2597798357998244E+01   +6.2597798357998236E+01   +6.2597798357998244E+01   +6.2597697538543265E+01   +6.2514715713081237E+01   +6.2378789028159559E+01   +6.2182291813707280E+01   +6.1914510667291857E+01   +6.1314439656669705E+01
  +2.1399999999999999E+01   +6.2585486236261289E+01   +6.2368549567085211E+01   +6.2585486236261289E+01   +6.2585484994572738E+01   +6.2585484994572731E+01   +6.2585484994572738E+01   +6.2585484994572738E+01   +6.2504447080595838E+01   +6.2368549567085211E+01   +6.2172094653538053E+01   +6.1903993002527997E+01   +6.1295636677561468E+01
  +2.1449999999999999E+01   +6.2573190855775948E+01   +6.2358307203078624E+01   +6.2573190855775948E+01   +6.2573189613869438E+01   +6.2573189613869438E+01   +6.2573189613869431E+01   +6.2573189613869438E+01   +6.2494172646941820E+01   +6.2358307203078624E+01   +6.2161894003525255E+01   +6.1893460480272637E+01   +6.1276845492245975E+01
  +2.1500000000000000E+01   +6.2560893316939236E+01   +6.2348061931647706E+01   +6.2560893316939236E+01   +6.2560892074814710E+01   +6.2560892074814717E+01   +6.2560892074814710E+01   +6.2560892074814710E+01   +6.2483892302083397E+01   +6.2348061931647706E+01   +6.2151689848470134E+01   +6.1882913162345808E+01   +6.1258066053415405E+01
  +2.1550000000000001E+01   +6.2548593619393863E+01   +6.2337813748218572E+01   +6.2548593619393863E+01   +6.2548592377051307E+01   +6.2548592377051300E+01   +6.2548592377051300E+01   +6.2548592377051300E+01   +6.2473606057985322E+01   +6.2337813748218572E+01   +6.2141482173310635E+01   +6.1872351110268170E+01   +6.1239298313955032E+01
  +2.1600000000000001E+01   +6.2536291762786419E+01   +6.2327562648227925E+01   +6.2536291762786419E+01   +6.2536290520225783E+01   +6.2536290520225783E+01   +6.2536290520225783E+01   +6.2536290520225783E+01   +6.2463313926565171E+01   +6.2327562648227925E+01   +6.2131270963120507E+01   +6.1861774385262464E+01   +6.1220542226942342E+01
  +2.1649999999999999E+01   +6.2523987746767325E+01   +6.2317308627123133E+01   +6.2523987746767325E+01   +6.2523986503988574E+01   +6.2523986503988581E+01   +6.2523986503988581E+01   +6.2523986503988574E+01   +6.2453015919693577E+01   +6.2317308627123133E+01   +6.2121056203108417E+01   +6.1851183048255010E+01   +6.1201797745646189E+01
  +2.1699999999999999E+01   +6.2511681570990810E+01   +6.2307051680362314E+01   +6.2511681570990810E+01   +6.2511680327993908E+01   +6.2511680327993908E+01   +6.2511680327993908E+01   +6.2511680327993908E+01   +6.2442712049194370E+01   +6.2307051680362314E+01   +6.2110837878617083E+01   +6.1840577159877185E+01   +6.1183064823525953E+01
  +2.1750000000000000E+01   +6.2499373235114881E+01   +6.2296791803414479E+01   +6.2499373235114881E+01   +6.2499371991899800E+01   +6.2499371991899800E+01   +6.2499371991899800E+01   +6.2499371991899807E+01   +6.2432402326844766E+01   +6.2296791803414479E+01   +6.2100615975122381E+01   +6.1829956780466873E+01   +6.1164343414230700E+01
  +2.1800000000000001E+01   +6.2487062738801349E+01   +6.2286528991759567E+01   +6.2487062738801349E+01   +6.2487061495368060E+01   +6.2487061495368060E+01   +6.2487061495368060E+01   +6.2487061495368067E+01   +6.2422086764375557E+01   +6.2286528991759567E+01   +6.2090390478232521E+01   +6.1819321970069936E+01   +6.1145633471598309E+01
  +2.1850000000000001E+01   +6.2474750081715797E+01   +6.2276263240888589E+01   +6.2474750081715797E+01   +6.2474748838064258E+01   +6.2474748838064251E+01   +6.2474748838064251E+01   +6.2474748838064258E+01   +6.2411765373471241E+01   +6.2276263240888589E+01   +6.2080161373687119E+01   +6.1808672788441676E+01   +6.1126934949654647E+01
  +2.1899999999999999E+01   +6.2462435263527524E+01   +6.2265994546303688E+01   +6.2462435263527524E+01   +6.2462434019657699E+01   +6.2462434019657699E+01   +6.2462434019657699E+01   +6.2462434019657707E+01   +6.2401438165770280E+01   +6.2265994546303688E+01   +6.2069928647356377E+01   +6.1798009295048274E+01   +6.1108247802612745E+01
  +2.1949999999999999E+01   +6.2450118283909575E+01   +6.2255722903518254E+01   +6.2450118283909575E+01   +6.2450117039821443E+01   +6.2450117039821443E+01   +6.2450117039821443E+01   +6.2450117039821443E+01   +6.2391105152865187E+01   +6.2255722903518254E+01   +6.2059692285240253E+01   +6.1787331549068213E+01   +6.1089571984871952E+01
  +2.2000000000000000E+01   +6.2437799142538708E+01   +6.2245448308056972E+01   +6.2437799142538708E+01   +6.2437797898232226E+01   +6.2437797898232226E+01   +6.2437797898232226E+01   +6.2437797898232226E+01   +6.2380766346302757E+01   +6.2245448308056972E+01   +6.2049452273467558E+01   +6.1776639609393747E+01   +6.1070907451017135E+01
  +2.2050000000000001E+01   +6.2425478288466344E+01   +6.2235171129638744E+01   +6.2425478288466344E+01   +6.2425477044032213E+01   +6.2425477044032213E+01   +6.2425477044032220E+01   +6.2425477044032213E+01   +6.2370422131767015E+01   +6.2235171129638744E+01   +6.2039208972477951E+01   +6.1765933909099388E+01   +6.1052254905959359E+01
  +2.2100000000000001E+01   +6.2413156619617837E+01   +6.2224892111650320E+01   +6.2413156619617837E+01   +6.2413155375146744E+01   +6.2413155375146737E+01   +6.2413155375146737E+01   +6.2413155375146744E+01   +6.2360073268666490E+01   +6.2224892111650320E+01   +6.2028963116495447E+01   +6.1755215255483037E+01   +6.1033615803389424E+01
  +2.2149999999999999E+01   +6.2400834584183080E+01   +6.2214611623083897E+01   +6.2400834584183080E+01   +6.2400833339674911E+01   +6.2400833339674911E+01   +6.2400833339674911E+01   +6.2400833339674904E+01   +6.2349720142184601E+01   +6.2214611623083897E+01   +6.2018715065466459E+01   +6.1744484081998891E+01   +6.1014990845008313E+01
  +2.2199999999999999E+01   +6.2388512181117385E+01   +6.2204329659063937E+01   +6.2388512181117385E+01   +6.2388510936572025E+01   +6.2388510936572025E+01   +6.2388510936572025E+01   +6.2388510936572025E+01   +6.2339362763691781E+01   +6.2204329659063937E+01   +6.2008464805586406E+01   +6.1733740448212750E+01   +6.0996379982077727E+01
  +2.2250000000000000E+01   +6.2376189409380160E+01   +6.2194046214727486E+01   +6.2376189409380160E+01   +6.2376188164797519E+01   +6.2376188164797519E+01   +6.2376188164797519E+01   +6.2376188164797519E+01   +6.2329001144511793E+01   +6.2194046214727486E+01   +6.1998212323178919E+01   +6.1722984413398386E+01   +6.0977783166052063E+01
  +2.2300000000000001E+01   +6.2363866267934952E+01   +6.2183761285224229E+01   +6.2363866267934952E+01   +6.2363865023314922E+01   +6.2363865023314922E+01   +6.2363865023314915E+01   +6.2363865023314915E+01   +6.2318635295921915E+01   +6.2183761285224229E+01   +6.1987957604695012E+01   +6.1712216036539083E+01   +6.0959200348577582E+01
  +2.2350000000000001E+01   +6.2351542755749364E+01   +6.2173474865716607E+01   +6.2351542755749364E+01   +6.2351541511091838E+01   +6.2351541511091838E+01   +6.2351541511091838E+01   +6.2351541511091838E+01   +6.2308265229153122E+01   +6.2173474865716607E+01   +6.1977700636712235E+01   +6.1701435376329037E+01   +6.0940631481491543E+01
  +2.2399999999999999E+01   +6.2339218871795097E+01   +6.2163186951379842E+01   +6.2339218871795097E+01   +6.2339217627099963E+01   +6.2339217627099963E+01   +6.2339217627099963E+01   +6.2339217627099970E+01   +6.2297890955390251E+01   +6.2163186951379842E+01   +6.1967441405933862E+01   +6.1690642491174813E+01   +6.0922076516821384E+01
  +2.2449999999999999E+01   +6.2326894615047891E+01   +6.2152897537402062E+01   +6.2326894615047891E+01   +6.2326893370315062E+01   +6.2326893370315055E+01   +6.2326893370315055E+01   +6.2326893370315062E+01   +6.2287512485772197E+01   +6.2152897537402062E+01   +6.1957179899188020E+01   +6.1679837439196753E+01   +6.0903535406783888E+01
  +2.2500000000000000E+01   +6.2314569984487527E+01   +6.2142606618984345E+01   +6.2314569984487527E+01   +6.2314568739716883E+01   +6.2314568739716890E+01   +6.2314568739716890E+01   +6.2314568739716883E+01   +6.2277129831392095E+01   +6.2142606618984345E+01   +6.1946916103426886E+01   +6.1669020278230406E+01   +6.0885008103784330E+01
