 TIME                                    HW_Temp                                  HW_Flow                                  PVPower                                  PV4HW                                    HeaterHeat                               HeaterPower                              HeaterPerf                               Tank_FlowRate                            Tank_TempOut                             T_mains                                  T_amb                                    GHI                                     
  +1.7750000000000000E+01   +4.4999997864597354E+01   +5.7091480782297921E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.6032995341426883E+01   +6.0752043592282220E+01   +1.8046806386638213E+01   +2.9527500000000000E+01   +2.1798000000000005E+02
  +1.7800000000000001E+01   +4.4999997175960459E+01   +6.0897579501117839E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.8445731283763863E+01   +6.0740379429043514E+01   +1.8046737001236391E+01   +2.9522500000000004E+01   +2.1762000000000003E+02
  +1.7850000000000001E+01   +4.4999996015093160E+01   +6.4703678219937757E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.0859820523415493E+01   +6.0728682986098484E+01   +1.8046667619831094E+01   +2.9517499999999998E+01   +2.1726000000000002E+02
  +1.7899999999999999E+01   +4.4999994239643208E+01   +6.8509776938757412E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.3275300087439057E+01   +6.0716923896560921E+01   +1.8046598242422426E+01   +2.9512500000000003E+01   +2.1690000000000003E+02
  +1.7949999999999999E+01   +4.4999991658137326E+01   +7.2315875657577322E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5692227169010764E+01   +6.0705059309863884E+01   +1.8046528869010473E+01   +2.9507500000000007E+01   +2.1654000000000002E+02
  +1.8000000000000000E+01   +4.4999988015280323E+01   +7.6121974376397233E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.8110687884566808E+01   +6.0693029258632968E+01   +1.8046459499595318E+01   +2.9502499999999998E+01   +2.1618000000000001E+02
  +1.8050000000000001E+01   +4.5000011033857696E+01   +7.3573482452641713E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.6513415451976471E+01   +6.0680794316885702E+01   +1.8046390134177052E+01   +2.9495000000000001E+01   +2.1275999999999991E+02
  +1.8100000000000001E+01   +4.5000001728380298E+01   +7.1024990528886207E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.4915307885785218E+01   +6.0668425010801457E+01   +1.8046320772755760E+01   +2.9485000000000003E+01   +2.0627999999999980E+02
  +1.8149999999999999E+01   +4.5000002305653616E+01   +6.8476498605130871E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.3316328747536168E+01   +6.0656014029370439E+01   +1.8046251415331543E+01   +2.9475000000000001E+01   +1.9980000000000018E+02
  +1.8199999999999999E+01   +4.5000003204332053E+01   +6.5928006681375336E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.1716461576956519E+01   +6.0643555693136733E+01   +1.8046182061904481E+01   +2.9465000000000000E+01   +1.9332000000000008E+02
  +1.8250000000000000E+01   +4.5000004431614833E+01   +6.3379514757619823E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.0115720954128875E+01   +6.0631027986512713E+01   +1.8046112712474667E+01   +2.9455000000000002E+01   +1.8684000000000000E+02
  +1.8300000000000001E+01   +4.5000005989731385E+01   +6.0831022833864310E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.8514116026261512E+01   +6.0618411239796089E+01   +1.8046043367042184E+01   +2.9445000000000000E+01   +1.8035999999999990E+02
  +1.8350000000000001E+01   +4.5000007875060959E+01   +5.8282530910108790E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.6911650538313417E+01   +6.0605688589232599E+01   +1.8045974025607126E+01   +2.9435000000000002E+01   +1.7387999999999982E+02
  +1.8399999999999999E+01   +4.5000010077576519E+01   +5.5734038986353454E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.5308322980962636E+01   +6.0592846422713805E+01   +1.8045904688169582E+01   +2.9425000000000001E+01   +1.6740000000000018E+02
