 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +5.9549999999999997E+01   +6.0530232672805717E+01   +6.2017152687846661E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9600000000000001E+01   +6.0513536508458436E+01   +6.2007577540558039E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9649999999999999E+01   +6.0496893241418135E+01   +6.1998021598321053E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9700000000000003E+01   +6.0480302775976909E+01   +6.1988484850524216E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9750000000000000E+01   +6.0463765016738385E+01   +6.1978967286582289E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9799999999999997E+01   +6.0447279868616434E+01   +6.1969468895936302E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9850000000000001E+01   +6.0430847236833884E+01   +6.1959989668053609E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9899999999999999E+01   +6.0414467026921294E+01   +6.1950529592427920E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9950000000000003E+01   +6.0398139144715664E+01   +6.1941088658579297E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0000000000000000E+01   +6.0381863496359202E+01   +6.1931666856054221E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0049999999999997E+01   +6.0365636987731861E+01   +6.1922262677694476E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0100000000000001E+01   +6.0349453530632843E+01   +6.1912873121742784E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0149999999999999E+01   +6.0333310045854226E+01   +6.1903496684093000E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0200000000000003E+01   +6.0317206456974418E+01   +6.1894133356182984E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0250000000000000E+01   +6.0301142687825724E+01   +6.1884783129473831E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0299999999999997E+01   +6.0285118662493296E+01   +6.1875445995449887E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0350000000000001E+01   +6.0269134305314090E+01   +6.1866121945618765E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0399999999999999E+01   +6.0253189540875837E+01   +6.1856810971511379E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0450000000000003E+01   +6.0237284294015993E+01   +6.1847513064681941E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0500000000000000E+01   +6.0221418489820749E+01   +6.1838228216708018E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0549999999999997E+01   +6.0205592053623953E+01   +6.1828956419190511E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0600000000000001E+01   +6.0189804911006149E+01   +6.1819697663753686E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0649999999999999E+01   +6.0174056987793534E+01   +6.1810451942045198E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0700000000000003E+01   +6.0158348210056928E+01   +6.1801219245736078E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0750000000000000E+01   +6.0142678504110826E+01   +6.1791999566520786E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0799999999999997E+01   +6.0127047796512343E+01   +6.1782792896117172E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0850000000000001E+01   +6.0111456014060259E+01   +6.1773599226266548E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
